ORGIN_AIPORT_ID,Description,Code.y
10223,"Anderson, IN: Anderson Municipal-Darlington Field",AID
10224,"Aiken, SC: Aiken Regional",AIK
10225,"Wainwright, AK: Wainwright Airport",AIN
10226,"Aitutaki, Cook Islands: Aitutaki Airport",AIT
10227,"Atlantic City, NJ: Bader Field",AIY
10228,"Lake of the Ozarks, MO: Lee C Fine Memorial",AIZ
10229,"Ajaccio, France: Ajaccio Napoleon Bonaparte",AJA
10230,"Jouf, Saudi Arabia: Al Jouf",AJF
10231,"Akjoujt, Mauritania: Akjoujt Airport",AJJ
10232,"Aizwal, India: Lengpui",AJL
10233,"Anjouan, Comoros: Ouani",AJN
10234,"Arvidsjaur, Sweden: Arvidsjaur Airport",AJR
10235,"Aracaju, Brazil: Santa Maria International",AJU
10236,"Agades, Niger: Mano Dayak",AJY
10237,"Atka, AK: Atka Airport",AKB
10238,"Akron, OH: Akron Fulton International",AKC
10239,"Kufrah, Libya: Kufra",AKF
10241,"Akiak, AK: Akiak Airport",AKI
10242,"Asahikawa, Japan: Asahikawa Airport",AKJ
10243,"Akhiok, AK: Akhiok Airport",AKK
10244,"Auckland, New Zealand: Auckland International",AKL
10245,"King Salmon, AK: King Salmon Airport",AKN
10246,"Akron, CO: Colorado Plains Regional",AKO
10247,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",AKP
10248,"Akure, Nigeria: Akure Airport",AKR
10249,"Auki, Solomon Islands: Auki Airport",AKS
10250,"Akrotiri, Cyprus: Akrotiri Airport",AKT
10251,"Aktyubinsk, Kazakhstan: Aktyubinsk Airport",AKX
10252,"Sittwe, Burma: Sittwe Airport",AKY
10253,"Albertville, AL: Albertville Regional-Thomas J Brumlik Field",AL1
10254,"Alabaster, AL: Shelby County",AL2
10255,"Huntsville, AL: Huntsville Executive Tom Sharp Jr",AL3
10256,"Almaty, Kazakhstan: Almaty Airport",ALA
10257,"Albany, NY: Albany International",ALB
10258,"Alicante, Spain: Alicante Elche",ALC
10259,"Alpine, TX: Alpine Casparis Municipal",ALE
10260,"Alta, Norway: Alta Airport",ALF
10261,"Algiers, Algeria: Houari Boumediene",ALG
10262,"Albany, Australia: Albany Airport",ALH
10263,"Alice, TX: Alice International",ALI
10264,"Alexander Bay, South Africa: Alexander Bay Airport",ALJ
10265,"Asela, Ethiopia: Asela Airport",ALK
10266,"Alamogordo, NM: Alamogordo White Sands Regional",ALM
10267,"Alton, IL: St. Louis Regional",ALN
10268,"Waterloo, IA: Waterloo Regional",ALO
10269,"Aleppo, Syria: Aleppo International",ALP
10270,"Alegrete, Brazil: Alegrete Airport",ALQ
10271,"Alexandra, New Zealand: Alexandra Airport",ALR
10272,"Alamosa, CO: San Luis Valley Regional/Bergman Field",ALS
10273,"Alenquer, Brazil: Alenquer Airport",ALT
10274,"Alula, Somalia: Alula Airport",ALU
10275,"Walla Walla, WA: Walla Walla Regional",ALW
10276,"Alexander City, AL: Thomas C. Russell Field",ALX
10277,"Alexandria, Egypt: Alexandria International",ALY
10278,"Lazy Bay, AK: Alitak Seaplane Base",ALZ
10279,"Amarillo, TX: Rick Husband Amarillo International",AMA
10280,"Ahmedabad, India: Ahmedabad International",AMD
10281,"Ama, Papua New Guinea: Ama Airport",AMF
10282,"Amboin, Papua New Guinea: Amboin Airport",AMG
10283,"Arba Minch, Ethiopia: Arba Minch Airport",AMH
10284,"Mataram, Indonesia: Selaparang",AMI
10285,"Durango, CO: Animas Air Park",AMK
10286,"Puerto Armuelles, Panama: Puerto Armuelles Airport",AML
10287,"Amman, Jordan: Queen Alia International",AMM
10288,"Alma, MI: Gratiot Community",AMN
10289,"Mao, Chad: Mao Airport",AMO
10290,"Ampanihy, Madagascar: Ampanihy Airport",AMP
10291,"Ambon, Indonesia: Pattimura",AMQ
10292,"Amsterdam, Netherlands: Schiphol",AMS
10294,"Ames, IA: Ames Municipal",AMW
10295,"Ammaroo, Australia: Ammaroo Station",AMX
10296,"Ambatomainty, Madagascar: Ambatomainty Airport",AMY
10297,"Anaheim, CA: Anaheim-Disneyland HP",ANA
10298,"Anniston, AL: Anniston Regional",ANB
10299,"Anchorage, AK: Ted Stevens Anchorage International",ANC
10300,"Anderson, SC: Anderson Regional",AND
10301,"Angers, France: Angers Marce",ANE
10302,"Antofagasta, Chile: Andres Sabella International",ANF
10303,"Angouleme, France: Angouleme Brie Champniers",ANG
10304,"Aniak, AK: Aniak Airport",ANI
10305,"Ankara, Turkey: Etimesgut",ANK
10306,"Antalaha, Madagascar: Antsirabato",ANM
10307,"Annette, AK: Annette Island",ANN
10308,"Angoche, Mozambique: Angoche Airport",ANO
10309,"Annapolis, MD: Lee",ANP
10310,"Antwerp, Belgium: Deurne",ANR
10311,"Andahuaylas, Peru: Andahuaylas Airport",ANS
10312,"St. Johns, Antigua and Barbuda: V C Bird International",ANU
10313,"Anvik, AK: Anvik Airport",ANV
10314,"Andeness, Norway: Andoya",ANX
10317,"Lima, OH: Lima Allen County",AOH
10318,"Ancona, Italy: Ancona Falconara",AOI
10319,"Aomori, Japan: Aomori Airport",AOJ
10320,"Karpathos, Greece: Karpathos Airport",AOK
10321,"Paso de Los Libres, Argentina: Paso de Los Libres Airport",AOL
10322,"Altoona, PA: Altoona-Blair County",AOO
10323,"Alor Setar, Malaysia: Sultan Abdul Halim",AOR
10324,"Amook Bay, AK: Amook Bay Airport",AOS
10325,"Denver, CO: Centennial",APA
10326,"Apolo, Bolivia: Apolo Airport",APB
10327,"Napa, CA: Napa County",APC
10328,"San Juan Aposento, Peru: San Juan Aposento Airport",APE
10329,"Naples, FL: Naples Municipal",APF
10330,"Aberdeen, MD: Phillips AAF",APG
10331,"Apataki, French Polynesia: Apataki Airport",APK
10332,"Nampula, Mozambique: Nampula Airport",APL
10333,"Alpena, MI: Alpena County Regional",APN
10334,"Apartado, Colombia: Apartado Airport",APO
10335,"April River, Papua New Guinea: April River Airport",APR
10336,"Jasper, TN: Marion County Brown Field",APT
10337,"Apple Valley, CA: Apple Valley Airport",APV
10338,"Apia, Samoa: Faleolo International",APW
10339,"Qaisumah, Saudi Arabia: Hafr Al Batin",AQI
10340,"Aqaba, Jordan: King Hussein International",AQJ
10342,"Arequipa, Peru: Rodriguez Ballon International",AQP
10343,"Saqani, Fiji: Saqani Airport",AQS
10344,"Girdwood, AK: Girdwood Airport",AQY
10345,"Russellville, AR: Russellville Regional",AR1
10346,"Conway, AR: Dennis F Cantrell Field",AR2
10347,"New Iberia, LA: Acadiana Regional",ARA
10348,"Ann Arbor, MI: Ann Arbor Municipal",ARB
10349,"Arctic Village, AK: Arctic Village Airport",ARC
10350,"Alor, Indonesia: Arcadia Municipal",ARD
10351,"Arecibo, PR: Antonio/Nery/Juarbe Pol",ARE
10352,"Walnut Ridge, AR: Walnut Ridge Regional",ARG
10353,"Arkhangelsk, Russia: Talagi",ARH
10354,"Arica, Chile: Chacalluta",ARI
10355,"Arusha, Tanzania: Arusha Airport",ARK
10356,"Armidale, Australia: Armidale Airport",ARM
10357,"Stockholm, Sweden: Arlanda",ARN
10358,"Aragip, Papua New Guinea: Aragip Airport",ARP
10359,"Arauquita, Colombia: Arauquita Airport",ARQ
10360,"Aragarcas, Brazil: Aragarcas Airport",ARS
10361,"Watertown, NY: Watertown International",ART
10362,"Aracatuba, Brazil: Aracatuba Airport",ARU
10363,"Minocqua/Woodruff, WI: Lakeland/Noble F. Lee Memorial Field",ARV
10364,"Arad, Romania: Arad International",ARW
10365,"Asbury Park, NJ: Asbury Park/Monmouth County",ARX
10366,"Ararat, Australia: Ararat Airport",ARY
10367,"N'zeto, Angola: N'zeto Airport",ARZ
10368,"Assab, Eritrea: Assab International",ASA
10369,"Ashgabat, Turkmenistan: Ashgabat Airport",ASB
10370,"Ascension, Bolivia: Ascension Airport",ASC
10371,"Andros Town, The Bahamas: Fresh Creek",ASD
10372,"Aspen, CO: Aspen Pitkin County Sardy Field",ASE
10373,"Ashburton, New Zealand: Ashburton Airport",ASG
10374,"Nashua, NH: Boire Field",ASH
10375,"Ascension Island, Saint Helena, Ascension, and Tristan da Cunha: Ascension Aux Af",ASI
10376,"Amami O Shima, Japan: Amami",ASJ
