2023 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2024),2023 Passengers (10% sample)
322,BTM,Bert Mooney,Butte,MT,536.71,657.21,889
323,HYA,Cape Cod Gateway,Hyannis,MA,277.98,340.39,884
324,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,354.34,433.89,880
325,ESC,Delta County,Escanaba,MI,462.55,566.4,862
326,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,124.72,152.72,828
327,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,451.98,553.46,800
328,HIB,Range Regional,Hibbing,MN,554.51,679,774
329,VEL,Vernal Regional,Vernal,UT,395.84,484.71,759
330,CDV,Merle K Mudhole Smith,Cordova,AK,399.5,489.19,758
331,EAR,Kearney Regional,Kearney,NE,463.21,567.21,737
332,EKO,Elko Regional,Elko,NV,655.86,803.11,722
333,ALO,Waterloo Regional,Waterloo,IA,482.81,591.21,702
334,MEI,Key Field,Meridian,MS,459.58,562.76,701
335,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,468.12,573.22,690
336,WRG,Wrangell Airport,Wrangell,AK,414.7,507.81,648
337,CDC,Cedar City Regional,Cedar City,UT,409.01,500.84,641
338,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,435.96,533.83,640
339,PIR,Pierre Regional,Pierre,SD,464.11,568.3,619
340,VCT,Victoria Regional,Victoria,TX,447.76,548.29,616
341,PRC,Prescott Regional Ernest A Love Field,Prescott,AZ,334.19,409.23,568
342,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,440.55,539.45,557
343,CNY,Canyonlands Regional,Moab,UT,330.51,404.71,555
344,BFM,Mobile International,Mobile,AL,114.38,140.06,551
345,DEC,Decatur Airport,Decatur,IL,434.87,532.5,536
346,INL,Falls International Einarson Field,International Falls,MN,520.72,637.63,511
347,APN,Alpena County Regional,Alpena,MI,522.23,639.47,506
348,SLN,Salina Regional,Salina,KS,362.58,443.98,489
349,OWB,Owensboro Daviess County Regional,Owensboro,KY,139.69,171.06,478
350,ATY,Watertown Regional,Watertown,SD,398.5,487.97,469
351,PAH,Barkley Regional,Paducah,KY,497.4,609.07,446
352,JLN,Joplin Regional,Joplin,MO,481.26,589.31,430
353,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,393.06,481.31,393
354,JMS,Jamestown Regional,Jamestown,ND,443.44,542.99,388
355,LBL,Liberal Mid-America Regional,Liberal,KS,383.59,469.71,383
356,SHD,Shenandoah Valley Regional,Staunton,VA,426.27,521.98,373
357,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,508.23,622.33,372
358,YAK,Yakutat Airport,Yakutat,AK,392.01,480.02,330
359,HYS,Hays Regional,Hays,KS,466.72,571.51,327
360,CVN,Clovis Regional,Clovis,NM,390.94,478.71,326
361,DRT,Del Rio International,Del Rio,TX,419.19,513.31,320
362,DVL,Devils Lake Regional,Devils Lake,ND,502.34,615.12,315
363,DDC,Dodge City Regional,Dodge City,KS,478.72,586.2,297
364,WYS,Yellowstone,West Yellowstone,MT,507.12,620.97,287
365,BKW,Raleigh County Memorial,Beckley,WV,429,525.32,265
366,OGS,Ogdensburg International,Ogdensburg,NY,254.58,311.73,246
367,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,461.88,565.58,239
368,IPL,Imperial County,El Centro,CA,306.9,375.8,234
368,LWB,Greenbrier Valley,Lewisburg,WV,445.64,545.69,234
370,LEB,Lebanon Municipal,Lebanon-Hanover,NH,382.33,468.17,216
371,DUT,Unalaska Airport,Unalaska,AK,1023.98,1253.88,202
372,PUB,Pueblo Memorial,Pueblo,CO,435.56,533.35,193
373,CGI,Cape Girardeau Regional,Cape Girardeau,MO,362.58,443.98,191
374,MKG,Muskegon County,Muskegon,MI,412.39,504.97,188
374,TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,355.66,435.51,188
376,GST,Gustavus Airport,Gustavus,AK,197.58,241.93,175
