Month_Year,ORIGIN_AIRPORT_ID_origin,DEST_AIRPORT_ID,flight_count,DEP_DELAY,ARR_DELAY,CANCELLED,estimated_demand,Average Fare ($)_origin,ORIGIN_AIRPORT_ID_dest,Average Fare ($)_dest,adjusted_demand
2018-01,ATL,CVG,199,9.235897435897435,1.6923076923076923,0.020100502512562814,195.0,360.85,CVG,320.78,132.7344983072936
2018-01,ATL,DAB,119,7.423728813559322,3.52991452991453,0.008403361344537815,118.0,360.85,DAB,379.37,77.95181028348767
2018-01,ATL,DAL,292,5.852112676056338,-2.8204225352112675,0.0273972602739726,284.0,360.85,DAL,303.32,195.0830828100515
2018-01,ATL,DAY,115,7.2792792792792795,1.2363636363636363,0.034782608695652174,111.0,360.85,DAY,420.63,71.83515920293198
2018-01,ATL,DCA,451,10.684684684684685,4.762443438914027,0.015521064301552107,444.0,360.85,DCA,357.42,296.58816956405815
2018-01,ATL,DEN,349,11.936231884057971,-1.6144927536231883,0.011461318051575931,345.0,360.85,DEN,302.55,237.08030925824025
2018-01,ATL,DFW,557,9.550091074681239,-0.1384335154826958,0.01436265709156194,549.0,360.85,DFW,383.43,361.9342020672855
2018-01,ATL,DSM,71,6.942028985507246,-8.72463768115942,0.028169014084507043,69.0,360.85,DSM,379.37,45.58199075898855
2018-01,ATL,DTW,463,9.416122004357298,0.8646288209606987,0.01079913606911447,458.0,360.85,DTW,373.37,303.4755566187535
2018-01,ATL,ECP,133,13.147286821705427,5.186046511627907,0.03007518796992481,129.0,360.85,ECP,429.25,83.13063226707038
2018-01,ATL,EGE,32,9.03125,-1.5161290322580645,0.0,32.0,360.85,EGE,636.46,18.716611358423414
2018-01,ATL,ELP,61,9.830508474576272,-8.661016949152541,0.03278688524590164,59.0,360.85,ELP,373.13,39.098751946987086
2018-01,ATL,EVV,29,4.178571428571429,-4.357142857142857,0.034482758620689655,28.0,360.85,EVV,471.94,17.673274114264476
2018-01,ATL,EWR,482,16.514161220043572,6.276688453159041,0.04771784232365145,459.0,360.85,EWR,403.74,299.54369720900934
