Month_Year,ORIGIN_AIRPORT_ID_origin,DEST_AIRPORT_ID,flight_count,DEP_DELAY,ARR_DELAY,CANCELLED,estimated_demand,Average Fare ($)_origin,ORIGIN_AIRPORT_ID_dest,Average Fare ($)_dest,price_proxy,optimized_demand,date,year,original_revenue,optimized_revenue,revenue_uplift_percent,cluster
2018-01,ABQ,MSP,2,-3.5,0.0,0.0,2.0,345.6,MSP,372.21,358.905,2.14884004062471,2018-01-01,2018,717.81,771.2294347804116,7.4420020312355115,0
2018-01,ABQ,OAK,62,5.016129032258065,-6.548387096774194,0.0,62.0,345.6,OAK,287.64,316.62,66.05306175773175,2018-01-01,2018,19630.44,20913.72041373303,6.537196383438331,4
2018-01,ABQ,ORD,31,-3.7,-5.5,0.03225806451612903,30.0,345.6,ORD,338.55,342.07500000000005,32.12428806799133,2018-01-01,2018,10262.250000000002,10988.915840858135,7.080960226637758,0
2018-01,ABQ,PHX,169,13.591715976331361,11.52662721893491,0.0,169.0,345.6,PHX,338.57,342.08500000000004,180.96718471702528,2018-01-01,2018,57812.365000000005,61906.1593839236,7.08117438877236,2
2018-01,ABQ,SAN,58,9.017241379310345,-1.5172413793103448,0.0,58.0,345.6,SAN,326.66,336.13,62.03315564321879,2018-01-01,2018,19495.54,20851.20460635513,6.953716626239287,4
2018-01,ABQ,SEA,3,-1.0,-5.0,0.0,3.0,345.6,SEA,337.31,341.45500000000004,3.2120304903232206,2018-01-01,2018,1024.3650000000002,1096.7638710733154,7.0676830107740045,0
2018-01,ABQ,SLC,34,-6.264705882352941,-21.823529411764707,0.0,34.0,345.6,SLC,359.45,352.525,36.48369777867709,2018-01-01,2018,11985.849999999999,12861.41555942814,7.3049934666973275,0
2018-01,ACY,FLL,93,5.943820224719101,-0.5617977528089888,0.043010752688172046,89.0,114.65,FLL,245.35,180.0,92.2623703376922,2018-01-01,2018,16020.0,16607.226660784596,3.6655846490923585,4
2018-01,ACY,MCO,62,-3.1864406779661016,-1.6101694915254237,0.04838709677419355,59.0,114.65,MCO,249.74,182.195,61.18955126057486,2018-01-01,2018,10749.505,11148.430291920437,3.7111038314828204,4
2018-01,ACY,MYR,31,-4.392857142857143,-11.214285714285714,0.0967741935483871,28.0,114.65,MYR,268.41,191.53000000000003,29.09337573161707,2018-01-01,2018,5362.840000000001,5572.254253876618,3.9049133272038183,0
2018-01,ACY,PBI,31,0.8,-1.0333333333333334,0.03225806451612903,30.0,114.65,PBI,334.01,224.32999999999998,31.376631046989232,2018-01-01,2018,6729.9,7038.719642771094,4.588770156630775,0
2018-01,ACY,RSW,62,-4.0,-4.172413793103448,0.04838709677419355,59.0,114.65,RSW,311.75,213.2,61.570166546003975,2018-01-01,2018,12578.8,13126.759507608047,4.356214484752502,4
