Month_Year,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,flight_count,DEP_DELAY,ARR_DELAY,CANCELLED,estimated_demand,optimized_demand,cluster
2018-01,ABQ,SAN,58,9.017241379310345,-1.5172413793103448,0.0,58.0,0.13130643285972257,3
2018-01,ABQ,SEA,3,-1.0,-5.0,0.0,3.0,0.5773502691896257,3
2018-01,ABQ,SLC,34,-6.264705882352941,-21.823529411764707,0.0,34.0,0.17149858514250882,3
2018-01,ACY,FLL,93,5.943820224719101,-0.5617977528089888,0.043010752688172046,89.0,0.0992351621838794,0
2018-01,ACY,MCO,62,-3.1864406779661016,-1.6101694915254237,0.04838709677419355,59.0,0.12085495956469741,3
2018-01,ACY,MYR,31,-4.392857142857143,-11.214285714285714,0.0967741935483871,28.0,0.16222414376611927,3
2018-01,ACY,PBI,31,0.8,-1.0333333333333334,0.03225806451612903,30.0,0.17381158260655635,3
2018-01,ACY,RSW,62,-4.0,-4.172413793103448,0.04838709677419355,59.0,0.12085495956469741,3
2018-01,ACY,TPA,31,-5.166666666666667,-12.133333333333333,0.03225806451612903,30.0,0.17381158260655635,3
2018-01,ADK,ANC,9,-10.5,-9.0,0.1111111111111111,8.0,0.2962962962962963,3
2018-01,ADQ,ANC,52,-11.25,-6.916666666666667,0.07692307692307693,48.0,0.1280077375904375,3
2018-01,AGS,ATL,29,14.357142857142858,6.214285714285714,0.034482758620689655,28.0,0.17929205065370524,3
2018-01,ALB,ATL,84,12.27710843373494,-8.108433734939759,0.011904761904761904,83.0,0.10781002910468672,0
2018-01,ALB,BWI,148,6.394557823129252,2.748299319727891,0.006756756756756757,147.0,0.08164409166853892,0
2018-01,ALB,CLT,66,3.671875,-1.109375,0.030303030303030304,64.0,0.11936144579814083,3
2018-01,ALB,DEN,30,7.166666666666667,-12.233333333333333,0.0,30.0,0.18257418583505539,3
2018-01,ALB,DTW,28,-3.357142857142857,-25.214285714285715,0.0,28.0,0.1889822365046136,3
2018-01,ALB,FLL,60,7.677966101694915,4.220338983050848,0.016666666666666666,59.0,0.12694778745902088,3
2018-01,ALB,MCO,90,14.311111111111112,9.622222222222222,0.0,90.0,0.10540925533894599,0
2018-01,ALB,MDW,62,11.209677419354838,1.2950819672131149,0.0,62.0,0.1270001270001905,3
2018-01,ALB,MSP,2,27.0,17.0,0.0,2.0,0.7071067811865476,3
2018-01,ALB,ORD,13,31.23076923076923,13.076923076923077,0.0,13.0,0.2773500981126146,3
2018-01,ALB,RSW,3,-5.666666666666667,-4.0,0.0,3.0,0.5773502691896257,3
2018-01,ALB,TPA,34,17.88235294117647,13.382352941176471,0.0,34.0,0.17149858514250882,3
2018-01,AMA,DAL,117,0.5,-6.681034482758621,0.008547008547008548,116.0,0.0916598614845108,0
2018-01,AMA,DFW,2,-6.0,-13.5,0.0,2.0,0.7071067811865476,3
2018-01,AMA,LAS,31,13.733333333333333,3.566666666666667,0.03225806451612903,30.0,0.17381158260655635,3
2018-01,ANC,ADK,9,-7.0,-31.0,0.1111111111111111,8.0,0.2962962962962963,3
2018-01,ANC,ADQ,52,-7.22,-9.625,0.07692307692307693,48.0,0.1280077375904375,3
2018-01,ANC,BET,73,-3.5211267605633805,-13.67605633802817,0.0273972602739726,71.0,0.11383454042363383,0
2018-01,ANC,CDV,30,-7.933333333333334,-2.0,0.0,30.0,0.18257418583505539,3
2018-01,ANC,DEN,39,27.81578947368421,10.263157894736842,0.02564102564102564,38.0,0.1560223037075208,3
2018-01,ANC,FAI,86,-6.761904761904762,-4.940476190476191,0.023255813953488372,84.0,0.10532503429173054,0
2018-01,ANC,HIK,31,-4.806451612903226,-20.774193548387096,0.0,31.0,0.17960530202677488,3
2018-01,ANC,HNL,31,-4.806451612903226,-20.774193548387096,0.0,31.0,0.17960530202677488,3
2018-01,ANC,JNU,116,-2.6120689655172415,-8.79646017699115,0.0,116.0,0.09284766908852593,0
2018-01,ANC,KOA,8,-7.625,-29.75,0.0,8.0,0.3535533905932738,3
